データコード,IR01'MADR1M
1868/10,
1868/11,
1868/12,
1869/01,
1869/02,
1869/03,
1869/04,
1869/05,
1869/06,
1869/07,
1869/08,
1869/09,
1869/10,
1869/11,
1869/12,
1870/01,
1870/02,
1870/03,
1870/04,
1870/05,
1870/06,
1870/07,
1870/08,
1870/09,
1870/10,
1870/11,
1870/12,
1871/01,
1871/02,
1871/03,
1871/04,
1871/05,
1871/06,
1871/07,
1871/08,
1871/09,
1871/10,
1871/11,
1871/12,
1872/01,
1872/02,
1872/03,
1872/04,
1872/05,
1872/06,
1872/07,
1872/08,
1872/09,
1872/10,
1872/11,
1872/12,
1873/01,
1873/02,
1873/03,
1873/04,
1873/05,
1873/06,
1873/07,
1873/08,
1873/09,
1873/10,
1873/11,
1873/12,
1874/01,
1874/02,
1874/03,
1874/04,
1874/05,
1874/06,
1874/07,
1874/08,
1874/09,
1874/10,
1874/11,
1874/12,
1875/01,
1875/02,
1875/03,
1875/04,
1875/05,
1875/06,
1875/07,
1875/08,
1875/09,
1875/10,
1875/11,
1875/12,
1876/01,
1876/02,
1876/03,
1876/04,
1876/05,
1876/06,
1876/07,
1876/08,
1876/09,
1876/10,
1876/11,
1876/12,
1877/01,
1877/02,
1877/03,
1877/04,
1877/05,
1877/06,
1877/07,
1877/08,
1877/09,
1877/10,
1877/11,
1877/12,
1878/01,
1878/02,
1878/03,
1878/04,
1878/05,
1878/06,
1878/07,
1878/08,
1878/09,
1878/10,
1878/11,
1878/12,
1879/01,
1879/02,
1879/03,
1879/04,
1879/05,
1879/06,
1879/07,
1879/08,
1879/09,
1879/10,
1879/11,
1879/12,
1880/01,
1880/02,
1880/03,
1880/04,
1880/05,
1880/06,
1880/07,
1880/08,
1880/09,
1880/10,
1880/11,
1880/12,
1881/01,
1881/02,
1881/03,
1881/04,
1881/05,
1881/06,
1881/07,
1881/08,
1881/09,
1881/10,
1881/11,
1881/12,
1882/01,
1882/02,
1882/03,
1882/04,
1882/05,
1882/06,
1882/07,
1882/08,
1882/09,
1882/10,10.22
1882/11,9.49
1882/12,9.49
1883/01,9.49
1883/02,9.49
1883/03,8.76
1883/04,8.76
1883/05,8.76
1883/06,8.76
1883/07,8.76
1883/08,8.76
1883/09,8.76
1883/10,8.03
1883/11,7.67
1883/12,7.3
1884/01,7.3
1884/02,7.3
1884/03,7.3
1884/04,6.57
1884/05,6.57
1884/06,6.57
1884/07,7.67
1884/08,8.03
1884/09,8.03
1884/10,8.03
1884/11,8.76
1884/12,8.76
1885/01,8.76
1885/02,9.49
1885/03,9.49
1885/04,8.4
1885/05,8.03
1885/06,8.03
1885/07,8.03
1885/08,6.94
1885/09,6.94
1885/10,6.94
1885/11,6.94
1885/12,6.94
1886/01,6.94
1886/02,6.94
1886/03,6.57
1886/04,6.21
1886/05,5.48
1886/06,4.93
1886/07,4.93
1886/08,4.93
1886/09,4.93
1886/10,5.84
1886/11,5.84
1886/12,5.84
1887/01,5.48
1887/02,5.48
1887/03,5.48
1887/04,5.48
1887/05,5.48
1887/06,5.48
1887/07,5.48
1887/08,5.48
1887/09,5.48
1887/10,5.48
1887/11,5.48
1887/12,5.48
1888/01,5.84
1888/02,5.84
1888/03,5.48
1888/04,5.48
1888/05,5.84
1888/06,6.21
1888/07,6.21
1888/08,6.57
1888/09,6.75
1888/10,6.75
1888/11,6.75
1888/12,6.75
1889/01,6.57
1889/02,6.02
1889/03,6.02
1889/04,6.02
1889/05,6.39
1889/06,6.57
1889/07,6.57
1889/08,6.75
1889/09,6.94
1889/10,6.94
1889/11,6.94
1889/12,6.94
1890/01,6.94
1890/02,6.94
1890/03,6.94
1890/04,6.94
1890/05,6.94
1890/06,6.21
1890/07,6.21
1890/08,6.21
1890/09,6.21
1890/10,6.57
1890/11,6.57
1890/12,6.57
1891/01,6.57
1891/02,6.57
1891/03,7.3
1891/04,7.3
1891/05,6.57
1891/06,6.57
1891/07,6.21
1891/08,6.21
1891/09,6.21
1891/10,6.21
1891/11,6.21
1891/12,6.21
1892/01,6.21
1892/02,6.21
1892/03,6.21
1892/04,6.21
1892/05,6.21
1892/06,6.21
1892/07,6.21
1892/08,6.21
1892/09,6.21
1892/10,6.21
1892/11,5.84
1892/12,5.84
1893/01,5.84
1893/02,5.84
1893/03,5.11
1893/04,5.11
1893/05,4.75
1893/06,4.75
1893/07,4.75
1893/08,4.75
1893/09,5.48
1893/10,5.48
1893/11,6.21
1893/12,6.21
1894/01,6.57
1894/02,6.94
1894/03,6.94
1894/04,6.94
1894/05,6.94
1894/06,7.3
1894/07,7.67
1894/08,7.67
1894/09,7.67
1894/10,7.67
1894/11,7.67
1894/12,7.67
1895/01,7.67
1895/02,7.67
1895/03,7.67
1895/04,7.67
1895/05,7.67
1895/06,7.67
1895/07,6.94
1895/08,6.94
1895/09,6.94
1895/10,6.94
1895/11,6.94
1895/12,6.94
1896/01,6.94
1896/02,6.94
1896/03,6.94
1896/04,6.94
1896/05,6.94
1896/06,6.94
1896/07,6.94
1896/08,6.94
1896/09,7.3
1896/10,7.3
1896/11,7.3
1896/12,7.3
1897/01,7.3
1897/02,7.3
1897/03,7.3
1897/04,7.3
1897/05,7.3
1897/06,7.3
1897/07,7.3
1897/08,7.67
1897/09,7.67
1897/10,8.03
1897/11,8.03
1897/12,8.03
1898/01,8.03
1898/02,8.4
1898/03,8.76
1898/04,8.76
1898/05,8.76
1898/06,8.76
1898/07,8.76
1898/08,8.76
1898/09,8.76
1898/10,8.03
1898/11,8.03
1898/12,7.3
1899/01,7.3
1899/02,6.94
1899/03,6.57
1899/04,6.21
1899/05,6.21
1899/06,6.21
1899/07,5.84
1899/08,5.84
1899/09,5.84
1899/10,5.84
1899/11,6.94
1899/12,6.94
1900/01,6.94
1900/02,6.94
1900/03,7.67
1900/04,8.4
1900/05,8.4
1900/06,8.4
1900/07,8.76
1900/08,8.76
1900/09,8.76
1900/10,8.76
1900/11,8.76
1900/12,8.76
1901/01,8.76
1901/02,8.76
1901/03,8.76
1901/04,8.76
1901/05,8.76
1901/06,8.76
1901/07,8.76
1901/08,8.76
1901/09,8.76
1901/10,8.76
1901/11,8.76
1901/12,8.76
1902/01,8.76
1902/02,8.76
1902/03,8.03
1902/04,8.03
1902/05,8.03
1902/06,7.3
1902/07,7.3
1902/08,7.3
1902/09,7.3
1902/10,6.57
1902/11,6.57
1902/12,6.21
1903/01,6.21
1903/02,6.21
1903/03,5.84
1903/04,5.84
1903/05,5.84
1903/06,5.84
1903/07,5.84
1903/08,5.84
1903/09,5.84
1903/10,5.84
1903/11,5.84
1903/12,5.84
1904/01,5.84
1904/02,5.84
1904/03,5.84
1904/04,5.84
1904/05,5.84
1904/06,5.84
1904/07,6.57
1904/08,6.57
1904/09,6.57
1904/10,6.57
1904/11,6.57
1904/12,7.3
1905/01,7.3
1905/02,7.3
1905/03,7.3
1905/04,7.3
1905/05,7.3
1905/06,8.03
1905/07,8.03
1905/08,8.03
1905/09,8.03
1905/10,8.03
1905/11,8.03
1905/12,8.03
1906/01,8.03
1906/02,8.03
1906/03,7.3
1906/04,7.3
1906/05,6.57
1906/06,6.57
1906/07,6.57
1906/08,6.57
1906/09,6.57
1906/10,6.57
1906/11,6.57
1906/12,6.57
1907/01,6.57
1907/02,6.57
1907/03,6.57
1907/04,6.57
1907/05,6.57
1907/06,6.57
1907/07,6.57
1907/08,6.57
1907/09,6.57
1907/10,6.57
1907/11,6.57
1907/12,7.3
1908/01,7.3
1908/02,7.3
1908/03,7.3
1908/04,7.3
1908/05,7.3
1908/06,7.3
1908/07,7.3
1908/08,7.3
1908/09,7.3
1908/10,7.3
1908/11,7.3
1908/12,7.3
1909/01,7.3
1909/02,7.3
1909/03,7.3
1909/04,7.3
1909/05,6.57
1909/06,6.57
1909/07,6.57
1909/08,5.84
1909/09,5.84
1909/10,5.84
1909/11,5.84
1909/12,5.84
1910/01,5.11
1910/02,5.11
1910/03,4.75
1910/04,4.75
1910/05,4.75
1910/06,4.75
1910/07,4.75
1910/08,4.75
1910/09,4.75
1910/10,4.75
1910/11,4.75
1910/12,4.75
1911/01,4.75
1911/02,4.75
1911/03,4.75
1911/04,4.75
1911/05,4.75
1911/06,4.75
1911/07,4.75
1911/08,4.75
1911/09,5.48
1911/10,5.48
1911/11,5.48
1911/12,5.48
1912/01,5.48
1912/02,5.84
1912/03,5.84
1912/04,5.84
1912/05,5.84
1912/06,5.84
1912/07,5.84
1912/08,5.84
1912/09,5.84
1912/10,6.21
1912/11,6.57
1912/12,6.57
1913/01,6.57
1913/02,6.57
1913/03,6.57
1913/04,6.57
1913/05,6.57
1913/06,6.57
1913/07,6.57
1913/08,6.57
1913/09,6.57
1913/10,6.57
1913/11,6.57
1913/12,6.57
1914/01,6.57
1914/02,6.57
1914/03,6.57
1914/04,6.57
1914/05,6.57
1914/06,6.57
1914/07,7.3
1914/08,7.3
1914/09,7.3
1914/10,7.3
1914/11,7.3
1914/12,7.3
1915/01,7.3
1915/02,7.3
1915/03,7.3
1915/04,7.3
1915/05,7.3
1915/06,7.3
1915/07,7.3
1915/08,7.3
1915/09,7.3
1915/10,7.3
1915/11,7.3
1915/12,7.3
1916/01,7.3
1916/02,7.3
1916/03,7.3
1916/04,6.57
1916/05,6.57
1916/06,6.57
1916/07,5.84
1916/08,5.84
1916/09,5.84
1916/10,5.84
1916/11,5.84
1916/12,5.84
1917/01,5.84
1917/02,5.84
1917/03,5.11
1917/04,5.11
1917/05,5.11
1917/06,5.11
1917/07,5.11
1917/08,5.11
1917/09,5.11
1917/10,5.11
1917/11,5.11
1917/12,5.11
1918/01,5.11
1918/02,5.11
1918/03,5.11
1918/04,5.11
1918/05,5.11
1918/06,5.11
1918/07,5.11
1918/08,5.11
1918/09,5.84
1918/10,5.84
1918/11,6.57
1918/12,6.57
1919/01,6.57
1919/02,6.57
1919/03,6.57
1919/04,6.57
1919/05,6.57
1919/06,6.57
1919/07,6.57
1919/08,6.57
1919/09,6.57
1919/10,7.3
1919/11,8.03
1919/12,8.03
1920/01,8.03
1920/02,8.03
1920/03,8.03
1920/04,8.03
1920/05,8.03
1920/06,8.03
1920/07,8.03
1920/08,8.03
1920/09,8.03
1920/10,8.03
1920/11,8.03
1920/12,8.03
1921/01,8.03
1921/02,8.03
1921/03,8.03
1921/04,8.03
1921/05,8.03
1921/06,8.03
1921/07,8.03
1921/08,8.03
1921/09,8.03
1921/10,8.03
1921/11,8.03
1921/12,8.03
1922/01,8.03
1922/02,8.03
1922/03,8.03
1922/04,8.03
1922/05,8.03
1922/06,8.03
1922/07,8.03
1922/08,8.03
1922/09,8.03
1922/10,8.03
1922/11,8.03
1922/12,8.03
1923/01,8.03
1923/02,8.03
1923/03,8.03
1923/04,8.03
1923/05,8.03
1923/06,8.03
1923/07,8.03
1923/08,8.03
1923/09,8.03
1923/10,8.03
1923/11,8.03
1923/12,8.03
1924/01,8.03
1924/02,8.03
1924/03,8.03
1924/04,8.03
1924/05,8.03
1924/06,8.03
1924/07,8.03
1924/08,8.03
1924/09,8.03
1924/10,8.03
1924/11,8.03
1924/12,8.03
1925/01,8.03
1925/02,8.03
1925/03,8.03
1925/04,7.3
1925/05,7.3
1925/06,7.3
1925/07,7.3
1925/08,7.3
1925/09,7.3
1925/10,7.3
1925/11,7.3
1925/12,7.3
1926/01,7.3
1926/02,7.3
1926/03,7.3
1926/04,7.3
1926/05,7.3
1926/06,7.3
1926/07,7.3
1926/08,7.3
1926/09,7.3
1926/10,6.57
1926/11,6.57
1926/12,6.57
1927/01,6.57
1927/02,6.57
1927/03,5.84
1927/04,5.84
1927/05,5.84
1927/06,5.84
1927/07,5.84
1927/08,5.84
1927/09,5.84
1927/10,5.48
1927/11,5.48
1927/12,5.48
1928/01,5.48
1928/02,5.48
1928/03,5.48
1928/04,5.48
1928/05,5.48
1928/06,5.48
1928/07,5.48
1928/08,5.48
1928/09,5.48
1928/10,5.48
1928/11,5.48
1928/12,5.48
1929/01,5.48
1929/02,5.48
1929/03,5.48
1929/04,5.48
1929/05,5.48
1929/06,5.48
1929/07,5.48
1929/08,5.48
1929/09,5.48
1929/10,5.48
1929/11,5.48
1929/12,5.48
1930/01,5.48
1930/02,5.48
1930/03,5.48
1930/04,5.48
1930/05,5.48
1930/06,5.48
1930/07,5.48
1930/08,5.48
1930/09,5.48
1930/10,5.11
1930/11,5.11
1930/12,5.11
1931/01,5.11
1931/02,5.11
1931/03,5.11
1931/04,5.11
1931/05,5.11
1931/06,5.11
1931/07,5.11
1931/08,5.11
1931/09,5.11
1931/10,5.84
1931/11,6.57
1931/12,6.57
1932/01,6.57
1932/02,6.57
1932/03,5.84
1932/04,5.84
1932/05,5.84
1932/06,5.11
1932/07,5.11
1932/08,4.38
1932/09,4.38
1932/10,4.38
1932/11,4.38
1932/12,4.38
1933/01,4.38
1933/02,4.38
1933/03,4.38
1933/04,4.38
1933/05,4.38
1933/06,4.38
1933/07,3.65
1933/08,3.65
1933/09,3.65
1933/10,3.65
1933/11,3.65
1933/12,3.65
1934/01,3.65
1934/02,3.65
1934/03,3.65
1934/04,3.65
1934/05,3.65
1934/06,3.65
1934/07,3.65
1934/08,3.65
1934/09,3.65
1934/10,3.65
1934/11,3.65
1934/12,3.65
1935/01,3.65
1935/02,3.65
1935/03,3.65
1935/04,3.65
1935/05,3.65
1935/06,3.65
1935/07,3.65
1935/08,3.65
1935/09,3.65
1935/10,3.65
1935/11,3.65
1935/12,3.65
1936/01,3.65
1936/02,3.65
1936/03,3.65
1936/04,3.29
1936/05,3.29
1936/06,3.29
1936/07,3.29
1936/08,3.29
1936/09,3.29
1936/10,3.29
1936/11,3.29
1936/12,3.29
1937/01,3.29
1937/02,3.29
1937/03,3.29
1937/04,3.29
1937/05,3.29
1937/06,3.29
1937/07,3.29
1937/08,3.29
1937/09,3.29
1937/10,3.29
1937/11,3.29
1937/12,3.29
1938/01,3.29
1938/02,3.29
1938/03,3.29
1938/04,3.29
1938/05,3.29
1938/06,3.29
1938/07,3.29
1938/08,3.29
1938/09,3.29
1938/10,3.29
1938/11,3.29
1938/12,3.29
1939/01,3.29
1939/02,3.29
1939/03,3.29
1939/04,3.29
1939/05,3.29
1939/06,3.29
1939/07,3.29
1939/08,3.29
1939/09,3.29
1939/10,3.29
1939/11,3.29
1939/12,3.29
1940/01,3.29
1940/02,3.29
1940/03,3.29
1940/04,3.29
1940/05,3.29
1940/06,3.29
1940/07,3.29
1940/08,3.29
1940/09,3.29
1940/10,3.29
1940/11,3.29
1940/12,3.29
1941/01,3.29
1941/02,3.29
1941/03,3.29
1941/04,3.29
1941/05,3.29
1941/06,3.29
1941/07,3.29
1941/08,3.29
1941/09,3.29
1941/10,3.29
1941/11,3.29
1941/12,3.29
1942/01,3.29
1942/02,3.29
1942/03,3.29
1942/04,3.29
1942/05,3.29
1942/06,3.29
1942/07,3.29
1942/08,3.29
1942/09,3.29
1942/10,3.29
1942/11,3.29
1942/12,3.29
1943/01,3.29
1943/02,3.29
1943/03,3.29
1943/04,3.29
1943/05,3.29
1943/06,3.29
1943/07,3.29
1943/08,3.29
1943/09,3.29
1943/10,3.29
1943/11,3.29
1943/12,3.29
1944/01,3.29
1944/02,3.29
1944/03,3.29
1944/04,3.29
1944/05,3.29
1944/06,3.29
1944/07,3.29
1944/08,3.29
1944/09,3.29
1944/10,3.29
1944/11,3.29
1944/12,3.29
1945/01,3.29
1945/02,3.29
1945/03,3.29
1945/04,3.29
1945/05,3.29
1945/06,3.29
1945/07,3.29
1945/08,3.29
1945/09,3.29
1945/10,3.29
1945/11,3.29
1945/12,3.29
1946/01,3.29
1946/02,3.29
1946/03,3.29
1946/04,3.29
1946/05,3.29
1946/06,3.29
1946/07,3.29
1946/08,3.29
1946/09,3.29
1946/10,3.65
1946/11,3.65
1946/12,3.65
1947/01,3.65
1947/02,3.65
1947/03,3.65
1947/04,3.65
1947/05,3.65
1947/06,3.65
1947/07,3.65
1947/08,3.65
1947/09,3.65
1947/10,3.65
1947/11,3.65
1947/12,3.65
1948/01,3.65
1948/02,3.65
1948/03,3.65
1948/04,4.38
1948/05,4.38
1948/06,4.38
1948/07,5.11
1948/08,5.11
1948/09,5.11
1948/10,5.11
1948/11,5.11
1948/12,5.11
1949/01,5.11
1949/02,5.11
1949/03,5.11
1949/04,5.11
1949/05,5.11
1949/06,5.11
1949/07,5.11
1949/08,5.11
1949/09,5.11
1949/10,5.11
1949/11,5.11
1949/12,5.11
1950/01,5.11
1950/02,5.11
1950/03,5.11
1950/04,5.11
1950/05,5.11
1950/06,5.11
1950/07,5.11
1950/08,5.11
1950/09,5.11
1950/10,5.11
1950/11,5.11
1950/12,5.11
1951/01,5.11
1951/02,5.11
1951/03,5.11
1951/04,5.11
1951/05,5.11
1951/06,5.11
1951/07,5.11
1951/08,5.11
1951/09,5.11
1951/10,5.84
1951/11,5.84
1951/12,5.84
1952/01,5.84
1952/02,5.84
1952/03,5.84
1952/04,5.84
1952/05,5.84
1952/06,5.84
1952/07,5.84
1952/08,5.84
1952/09,5.84
1952/10,5.84
1952/11,5.84
1952/12,5.84
1953/01,5.84
1953/02,5.84
1953/03,5.84
1953/04,5.84
1953/05,5.84
1953/06,5.84
1953/07,5.84
1953/08,5.84
1953/09,5.84
1953/10,5.84
1953/11,5.84
1953/12,5.84
1954/01,5.84
1954/02,5.84
1954/03,5.84
1954/04,5.84
1954/05,5.84
1954/06,5.84
1954/07,5.84
1954/08,5.84
1954/09,5.84
1954/10,5.84
1954/11,5.84
1954/12,5.84
1955/01,5.84
1955/02,5.84
1955/03,5.84
1955/04,5.84
1955/05,5.84
1955/06,5.84
1955/07,5.84
1955/08,7.3
1955/09,7.3
1955/10,7.3
1955/11,7.3
1955/12,7.3
1956/01,7.3
1956/02,7.3
1956/03,7.3
1956/04,7.3
1956/05,7.3
1956/06,7.3
1956/07,7.3
1956/08,7.3
1956/09,7.3
1956/10,7.3
1956/11,7.3
1956/12,7.3
1957/01,7.3
1957/02,7.3
1957/03,7.67
1957/04,7.67
1957/05,8.4
1957/06,8.4
1957/07,8.4
1957/08,8.4
1957/09,8.4
1957/10,8.4
1957/11,8.4
1957/12,8.4
1958/01,8.4
1958/02,8.4
1958/03,8.4
1958/04,8.4
1958/05,8.4
1958/06,7.67
1958/07,7.67
1958/08,7.67
1958/09,7.3
1958/10,7.3
1958/11,7.3
1958/12,7.3
1959/01,7.3
1959/02,6.94
1959/03,6.94
1959/04,6.94
1959/05,6.94
1959/06,6.94
1959/07,6.94
1959/08,6.94
1959/09,6.94
1959/10,6.94
1959/11,6.94
1959/12,7.3
1960/01,7.3
1960/02,7.3
1960/03,7.3
1960/04,7.3
1960/05,7.3
1960/06,7.3
1960/07,7.3
1960/08,6.94
1960/09,6.94
1960/10,6.94
1960/11,6.94
1960/12,6.94
1961/01,6.57
1961/02,6.57
1961/03,6.57
1961/04,6.57
1961/05,6.57
1961/06,6.57
1961/07,6.94
1961/08,6.94
1961/09,7.3
1961/10,7.3
1961/11,7.3
1961/12,7.3
1962/01,7.3
1962/02,7.3
1962/03,7.3
1962/04,7.3
1962/05,7.3
1962/06,7.3
1962/07,7.3
1962/08,7.3
1962/09,7.3
1962/10,6.94
1962/11,6.57
1962/12,6.57
1963/01,6.57
1963/02,6.57
1963/03,6.21
1963/04,5.84
1963/05,5.84
1963/06,5.84
1963/07,5.84
1963/08,5.84
1963/09,5.84
1963/10,5.84
1963/11,5.84
1963/12,5.84
1964/01,5.84
1964/02,5.84
1964/03,6.57
1964/04,6.57
1964/05,6.57
1964/06,6.57
1964/07,6.57
1964/08,6.57
1964/09,6.57
1964/10,6.57
1964/11,6.57
1964/12,6.57
1965/01,6.21
1965/02,6.21
1965/03,6.21
1965/04,5.84
1965/05,5.84
1965/06,5.48
1965/07,5.48
1965/08,5.48
1965/09,5.48
1965/10,5.48
1965/11,5.48
1965/12,5.48
1966/01,5.48
1966/02,5.48
1966/03,5.48
1966/04,5.48
1966/05,5.48
1966/06,5.48
1966/07,5.48
1966/08,5.48
1966/09,5.48
1966/10,5.48
1966/11,5.48
1966/12,5.48
1967/01,5.48
1967/02,5.48
1967/03,5.48
1967/04,5.48
1967/05,5.48
1967/06,5.48
1967/07,5.48
1967/08,5.48
1967/09,5.84
1967/10,5.84
1967/11,5.84
1967/12,5.84
1968/01,6.21
1968/02,6.21
1968/03,6.21
1968/04,6.21
1968/05,6.21
1968/06,6.21
1968/07,6.21
1968/08,5.84
1968/09,5.84
1968/10,5.84
1968/11,5.84
1968/12,5.84
1969/01,5.84
1969/02,5.84
1969/03,5.84
1969/04,5.84
1969/05,5.84
1969/06,5.84
1969/07,5.84
1969/08,5.84
1969/09,6.25
1969/10,6.25
1969/11,6.25
1969/12,6.25
1970/01,6.25
1970/02,6.25
1970/03,6.25
1970/04,6.25
1970/05,6.25
1970/06,6.25
1970/07,6.25
1970/08,6.25
1970/09,6.25
1970/10,6
1970/11,6
1970/12,6
1971/01,5.75
1971/02,5.75
1971/03,5.75
1971/04,5.75
1971/05,5.5
1971/06,5.5
1971/07,5.25
1971/08,5.25
1971/09,5.25
1971/10,5.25
1971/11,5.25
1971/12,4.75
1972/01,4.75
1972/02,4.75
1972/03,4.75
1972/04,4.75
1972/05,4.75
1972/06,4.25
1972/07,4.25
1972/08,4.25
1972/09,4.25
1972/10,4.25
1972/11,4.25
1972/12,4.25
1973/01,4.25
1973/02,4.25
1973/03,4.25
1973/04,5
1973/05,5.5
1973/06,5.5
1973/07,6
1973/08,7
1973/09,7
1973/10,7
1973/11,7
1973/12,9
1974/01,9
1974/02,9
1974/03,9
1974/04,9
1974/05,9
1974/06,9
1974/07,9
1974/08,9
1974/09,9
1974/10,9
1974/11,9
1974/12,9
1975/01,9
1975/02,9
1975/03,9
1975/04,8.5
1975/05,8.5
1975/06,8
1975/07,8
1975/08,7.5
1975/09,7.5
1975/10,6.5
1975/11,6.5
1975/12,6.5
1976/01,6.5
1976/02,6.5
1976/03,6.5
1976/04,6.5
1976/05,6.5
1976/06,6.5
1976/07,6.5
1976/08,6.5
1976/09,6.5
1976/10,6.5
1976/11,6.5
1976/12,6.5
1977/01,6.5
1977/02,6.5
1977/03,6
1977/04,5
1977/05,5
1977/06,5
1977/07,5
1977/08,5
1977/09,4.25
1977/10,4.25
1977/11,4.25
1977/12,4.25
1978/01,4.25
1978/02,4.25
1978/03,3.5
1978/04,3.5
1978/05,3.5
1978/06,3.5
1978/07,3.5
1978/08,3.5
1978/09,3.5
1978/10,3.5
1978/11,3.5
1978/12,3.5
1979/01,3.5
1979/02,3.5
1979/03,3.5
1979/04,4.25
1979/05,4.25
1979/06,4.25
1979/07,5.25
1979/08,5.25
1979/09,5.25
1979/10,5.25
1979/11,6.25
1979/12,6.25
1980/01,6.25
1980/02,7.25
1980/03,9
1980/04,9
1980/05,9
1980/06,9
1980/07,9
1980/08,8.25
1980/09,8.25
1980/10,8.25
1980/11,7.25
1980/12,7.25
1981/01,7.25
1981/02,7.25
1981/03,6.25
1981/04,6.25
1981/05,6.25
1981/06,6.25
1981/07,6.25
1981/08,6.25
1981/09,6.25
1981/10,6.25
1981/11,6.25
1981/12,5.5
1982/01,5.5
1982/02,5.5
1982/03,5.5
1982/04,5.5
1982/05,5.5
1982/06,5.5
1982/07,5.5
1982/08,5.5
1982/09,5.5
1982/10,5.5
1982/11,5.5
1982/12,5.5
1983/01,5.5
1983/02,5.5
1983/03,5.5
1983/04,5.5
1983/05,5.5
1983/06,5.5
1983/07,5.5
1983/08,5.5
1983/09,5.5
1983/10,5
1983/11,5
1983/12,5
1984/01,5
1984/02,5
1984/03,5
1984/04,5
1984/05,5
1984/06,5
1984/07,5
1984/08,5
1984/09,5
1984/10,5
1984/11,5
1984/12,5
1985/01,5
1985/02,5
1985/03,5
1985/04,5
1985/05,5
1985/06,5
1985/07,5
1985/08,5
1985/09,5
1985/10,5
1985/11,5
1985/12,5
1986/01,4.5
1986/02,4.5
1986/03,4
1986/04,3.5
1986/05,3.5
1986/06,3.5
1986/07,3.5
1986/08,3.5
1986/09,3.5
1986/10,3.5
1986/11,3
1986/12,3
1987/01,3
1987/02,2.5
1987/03,2.5
1987/04,2.5
1987/05,2.5
1987/06,2.5
1987/07,2.5
1987/08,2.5
1987/09,2.5
1987/10,2.5
1987/11,2.5
1987/12,2.5
1988/01,2.5
1988/02,2.5
1988/03,2.5
1988/04,2.5
1988/05,2.5
1988/06,2.5
1988/07,2.5
1988/08,2.5
1988/09,2.5
1988/10,2.5
1988/11,2.5
1988/12,2.5
1989/01,2.5
1989/02,2.5
1989/03,2.5
1989/04,2.5
1989/05,3.25
1989/06,3.25
1989/07,3.25
1989/08,3.25
1989/09,3.25
1989/10,3.75
1989/11,3.75
1989/12,4.25
1990/01,4.25
1990/02,4.25
1990/03,5.25
1990/04,5.25
1990/05,5.25
1990/06,5.25
1990/07,5.25
1990/08,6
1990/09,6
1990/10,6
1990/11,6
1990/12,6
1991/01,6
1991/02,6
1991/03,6
1991/04,6
1991/05,6
1991/06,6
